raj,raj_id,raj_nome,juiz_diretor,email,comarca_cirscunscricao,comarca,cirscunscricao_judiciaria
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Rio Grande de Serra - 3ª CJ,Rio Grande de Serra,3ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Santa Isabel - 44ª CJ,Santa Isabel,44ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Santana do Parnaíba - 4ª CJ,Santana do Parnaíba,4ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Santo André - 3ª CJ,Santo André,3ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),São Bernardo do Campo - 2ª CJ,São Bernardo do Campo,2ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),São Caetano do Sul - 3ª CJ,São Caetano do Sul,3ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),São Paulo - Capital,São Paulo,Capital
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Suzano - 45ª CJ,Suzano,45ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Taboão da Serra - 52ª CJ,Taboão da Serra,52ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Vargem Grande Paulista - 52ª CJ,Vargem Grande Paulista,52ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Altinópolis - 39ª CJ,Altinópolis,39ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Américo Brasiliense - 13ª CJ,Américo Brasiliense,13ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Araraquara - 13ª CJ,Araraquara,13ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Batatais - 39ª CJ,Batatais,39ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Borborema - 13ª CJ,Borborema,13ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Brodowski - 39ª CJ,Brodowski,39ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Caconde - 43ª CJ,Caconde,43ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Cajuru - 41ª CJ,Cajuru,41ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Casa Branca - 43ª CJ,Casa Branca,43ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Cravinhos - 41ª CJ,Cravinhos,41ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Descalvado - 12ª CJ,Descalvado,12ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Franca - 38ª CJ,Franca,38ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Guará - 40ª CJ,Guará,40ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Guariba - 42ª CJ,Guariba,42ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Iacanga - 13ª CJ,Iacanga,13ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Ibaté - 12ª CJ,Ibaté,12ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Ibitinga - 13ª CJ,Ibitinga,13ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Igarapava - 40ª CJ,Igarapava,40ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Ipuã - 40ª CJ,Ipuã,40ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Itápolis - 13ª CJ,Itápolis,13ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Ituverava - 40ª CJ,Ituverava,40ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Jaboticabal - 42ª CJ,Jaboticabal,42ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Jardinópolis - 41ª CJ,Jardinópolis,41ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Matão - 13ª CJ,Matão,13ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Miguelópolis - 40ª CJ,Miguelópolis,40ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Mococa - 43ª CJ,Mococa,43ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Monte Alto - 42ª CJ,Monte Alto,42ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Morro Agudo - 39ª CJ,Morro Agudo,39ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Nuporanga - 39ª CJ,Nuporanga,39ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Orlândia - 39ª CJ,Orlândia,39ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Patrocínio Paulista - 38ª CJ,Patrocínio Paulista,38ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Pedregulho - 38ª CJ,Pedregulho,38ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Pirangi - 42ª CJ,Pirangi,42ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Pitangueiras - 42ª CJ,Pitangueiras,42ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Pontal - 41ª CJ,Pontal,41ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Ribeirão Bonito - 12ª CJ,Ribeirão Bonito,12ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Ribeirão Preto - 41ª CJ,Ribeirão Preto,41ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Santa Cruz das Palmeiras - 43ª CJ,Santa Cruz das Palmeiras,43ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Santa Rosa do Viterbo - 41ª CJ,Santa Rosa do Viterbo,41ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),São Carlos - 12ª CJ,São Carlos,12ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),São Joaquim da Barra - 40ª CJ,São Joaquim da Barra,40ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),São José do Rio Pardo - 43ª CJ,São José do Rio Pardo,43ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),São Sebastião da Grama - 43ª CJ,São Sebastião da Grama,43ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),São Simão - 41ª CJ,São Simão,41ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Serrana - 41ª CJ,Serrana,41ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Sertãozinho - 41ª CJ,Sertãozinho,41ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Tambaú - 43ª CJ,Tambaú,43ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Taquaritinga - 42ª CJ,Taquaritinga,42ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Altinópolis - 39ª CJ,Altinópolis,39ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Américo Brasiliense - 13ª CJ,Américo Brasiliense,13ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Araraquara - 13ª CJ,Araraquara,13ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Batatais - 39ª CJ,Batatais,39ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Borborema - 13ª CJ,Borborema,13ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Brodowski - 39ª CJ,Brodowski,39ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Caconde - 43ª CJ,Caconde,43ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Cajuru - 41ª CJ,Cajuru,41ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Casa Branca - 43ª CJ,Casa Branca,43ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Cravinhos - 41ª CJ,Cravinhos,41ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Descalvado - 12ª CJ,Descalvado,12ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Franca - 38ª CJ,Franca,38ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Guará - 40ª CJ,Guará,40ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Guariba - 42ª CJ,Guariba,42ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Iacanga - 13ª CJ,Iacanga,13ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Ibaté - 12ª CJ,Ibaté,12ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Ibitinga - 13ª CJ,Ibitinga,13ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Igarapava - 40ª CJ,Igarapava,40ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Ipuã - 40ª CJ,Ipuã,40ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Itápolis - 13ª CJ,Itápolis,13ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Ituverava - 40ª CJ,Ituverava,40ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Jaboticabal - 42ª CJ,Jaboticabal,42ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Jardinópolis - 41ª CJ,Jardinópolis,41ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Matão - 13ª CJ,Matão,13ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Miguelópolis - 40ª CJ,Miguelópolis,40ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Mococa - 43ª CJ,Mococa,43ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Monte Alto - 42ª CJ,Monte Alto,42ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Morro Agudo - 39ª CJ,Morro Agudo,39ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Nuporanga - 39ª CJ,Nuporanga,39ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Orlândia - 39ª CJ,Orlândia,39ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Patrocínio Paulista - 38ª CJ,Patrocínio Paulista,38ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Pedregulho - 38ª CJ,Pedregulho,38ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Pirangi - 42ª CJ,Pirangi,42ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Pitangueiras - 42ª CJ,Pitangueiras,42ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Pontal - 41ª CJ,Pontal,41ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Ribeirão Bonito - 12ª CJ,Ribeirão Bonito,12ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Ribeirão Preto - 41ª CJ,Ribeirão Preto,41ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Santa Cruz das Palmeiras - 43ª CJ,Santa Cruz das Palmeiras,43ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Santa Rosa do Viterbo - 41ª CJ,Santa Rosa do Viterbo,41ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),São Carlos - 12ª CJ,São Carlos,12ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),São Joaquim da Barra - 40ª CJ,São Joaquim da Barra,40ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),São José do Rio Pardo - 43ª CJ,São José do Rio Pardo,43ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),São Sebastião da Grama - 43ª CJ,São Sebastião da Grama,43ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),São Simão - 41ª CJ,São Simão,41ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Serrana - 41ª CJ,Serrana,41ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Sertãozinho - 41ª CJ,Sertãozinho,41ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Tambaú - 43ª CJ,Tambaú,43ª CJ
6ª RAJ - Ribeirão Preto,6ª RAJ,Ribeirão Preto,Juiz diretor: Reginaldo Siqueira,(rsiqueira@tjsp.jus.br),Taquaritinga - 42ª CJ,Taquaritinga,42ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Andradina - 37ª CJ,Andradina,37ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Araçatuba - 36ª CJ,Araçatuba,36ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Auriflama - 55ª CJ,Auriflama,55ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Bilac - 36ª CJ,Bilac,36ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Birigui - 36ª CJ,Birigui,36ª CJ
2ª RAJ - Araçatuba,2ª RAJ,Araçatuba,Juiz diretor: Antonio Fernando Sanches Batagelo,(abatagelo@tjsp.jus.br),Buritama - 36ª CJ,Buritama,36ª CJ
