id_setor,setor,dados_gerais,telefone,fax,email,id_unidade
28,Ofício Judicial,Térreo,(14) 2151-5452,(14) Não Informado,mgavaldao@tjsp.jus.br,4
29,Seção de Administração Geral,Não Informado,(14) 2151-5455 - Ramal N/C,(14) Não Informado,agudosadm@tjsp.jus.br,4
30,Setor de Conciliação,"Rua Décio Antonio Balestra, 236",(14) 3262-7427,(14) Não Informado,Não Informado,4
31,Juizado Especial Cível,prédio anexo,(14) 2151-5464,(14) Não Informado,Não Informado,4
32,145ª - Subsecção Agudos,Sala no interior do Fórum,(14) 3262-2500,(14) Não Informado,agudos@oabsp.org.br,4
33,Mediação e Conciliação,"Rua Décio Antonio Balestra, 236",(14) 3262-7427,(14) Não Informado,pcomin@tjsp.jus.br,4
34,Promotoria da Justiça,Piso Superior-Prédio Fórum,(14) 3262-2522,(14) Não Informado,Não Informado,4
35,SAGF-AGUDOS,Térreo - Prédio Fórum,(14) 2151-5455,(14) Não Informado,Não Informado,4
36,Cartório da 7ª Zona Eleitoral,"Rua Celidônio Neto, 165",(14) 3262-3370,(14) Não Informado,Não Informado,4
37,Módulo Oficiais de Justiça,Não Informado,(14) Não Informado,(14) Não Informado,Não Informado,4
38,Copa,Não Informado,(14) Não Informado,(14) Não Informado,Não Informado,4
39,Central de Atendimento,Não Informado,(14) 2151-5455 - Ramal Administração,(14) Não Informado,Não Informado,4
40,Juizado Especial Cível / Criminal e Fazenda Pública,sala terreo,(16) 3665-2211 - Ramal ramal 29,(16) Não Informado,altinopjec@tjsp.jus.br,5
41,Vara Judicial,térreo,(16) 3665-2211 - Ramal r.28 supervisor,(16) 3665-2100,altinop@tjsp.jus.br,5
42,Ofício Judicial,sala terreo,(16) 3665-2100 - Ramal ramal 24,(16) 3665-2100,altinop@tjsp.jus.br,5
43,Seção de Administração Geral,Piso superior,(16) 3665-2211 - Ramal Ramal 26,(16) Não Informado,altinopadm@tjsp.jus.br,5
44,Distribuidor,Térreo Sala,(16) 3665-2100 - Ramal 21,(16) 3665-2211,altinop@tjsp.jus.br,5
45,Sala dos Advogados,Andar Térreo - Sala s/n,(16) 3665-4099 - Ramal CASA DO ADVOGAD,(16) Não Informado,Não Informado,5
47,Copa,Não Informado,(16) Não Informado,(16) Não Informado,Não Informado,5
48,CEJUSC - Centro Judiciário de Solução de Conflitos e Cidadania,Não Informado,(16) 3665-3042,(16) Não Informado,Não Informado,5
49,"Vara do Júri, Execuções Criminais e da Infância e da Juventude","Av. Brasil, n. 2669 - Pq. Residencial Nardini - Americana-SP.",(19) 3309-2551,(19) Não Informado,americanajuri@tjsp.jus.br,6
50,"Ofício do Júri, Execuções Criminais e da Infância e da Juventude","Av. Brasil, n. 2669 - Pq. Residencial Nardini - Americana-SP.",(19) 3309-2551,(19) Não Informado,americanajuri@tjsp.jus.br,6
51,1ª Vara da Família e das Sucessões,"Av. Brasil, n. 2669 - Pq. Residencial Nardini - Americana-SP.",(19) 3309-2532,(19) Não Informado,americanafam@tjsp.jus.br,6
52,1º Ofício da Família e das Sucessões,"Av. Brasil, n. 2669 - Pq. Residencial Nardini - Americana-SP.",(19) 3309-2532,(19) Não Informado,americanafam@tjsp.jus.br,6
53,4º Ofício Cível,"Av. Brasil, n. 2669 - Pq. Residencial Nardini - Americana-SP.",(19) 3309-2545,(19) Não Informado,americana4cv@tjsp.jus.br,6
54,1ª Vara Cível,"Av. Brasil, n. 2669 - Pq. Residencial Nardini - Americana-SP.",(19) 3309-2522,(19) Não Informado,americana1cv@tjsp.jus.br,6
55,2ª Vara Cível,"Av. Brasil, n. 2669 - Pq. Residencial Nardini - Americana-SP.",(19) 3309-2531,(19) Não Informado,americana2cv@tjsp.jus.br,6
56,1º Ofício Cível,"Av. Brasil, n. 2669 - Pq. Residencial Nardini - Americana-SP.",(19) 3309-2522,(19) Não Informado,americana1cv@tjsp.jus.br,6
57,2º Ofício Cível,"Av. Brasil, n. 2669 - Pq. Residencial Nardini - Americana-SP.",(19) 3309-2533,(19) Não Informado,americana2cv@tjsp.jus.br,6
58,1º Ofício Criminal,"Av. Brasil, n. 2669 - Pq. Residencial Nardini - Americana-SP.",(19) 3309-2535,(19) Não Informado,americana1cr@tjsp.jus.br,6
59,1ª Vara Criminal,"Av. Brasil, n. 2669 - Pq. Residencial Nardini - Americana-SP.",(19) 3309-2535,(19) Não Informado,americana1cr@tjsp.jus.br,6
60,2ª Vara Criminal,"Av. Brasil, n. 2669 - Pq. Residencial Nardini - Americana-SP.",(19) 3309-2537,(19) Não Informado,americana2cr@tjsp.jus.br,6
61,2º Ofício Criminal,"Avenida Brasil, n. 2669 - Pq. Residencial Nardini - Americana-SP.",(19) 3309-2537,(19) Não Informado,americana2cr@tjsp.jus.br,6
62,Administração,"Av. Brasil, n. 2669 - Pq. Residencial Nardini - Americana-SP.",(19) 3309-2515,(19) Não Informado,americanaadm@tjsp.jus.br,6
63,"Seção de Expediente, Finanças e Arquivo/Administração Geral","Av. Brasil, n. 2669 - Pq. Residencial Nardini - Americana-SP.",(19) 3309-2515,(19) Não Informado,americanaadm@tjsp.jus.br,6
64,Seção de Pessoal e Corregedoria/Administração Geral,"Av. Brasil, n. 2669 - Pq. Residencial Nardini - Americana-SP.",(19) 3309-2521,(19) Não Informado,americanaadm@tjsp.jus.br,6
65,Ofício de Distribuição Judicial,"Av. Brasil, n. 2669 - Pq. Residencial Nardini - Americana-SP.",(19) 3309-2546,(19) Não Informado,americana@tjsp.jus.br,6
66,3ª Vara Cível,"Av. Brasil, n. 2669 - Pq. Residencial Nardini - Americana-SP.",(19) 3309-2555,(19) Não Informado,americana3cv@tjsp.jus.br,6
67,3º Ofício Cível,"Av. Brasil, n. 2669 - Pq. Residencial Nardini - Americana-SP.",(19) 3309-2555,(19) Não Informado,americana3cv@tjsp.jus.br,6
68,Diretoria de Serviço de Administração Geral,"Av. Brasil, n. 2669 - Pq. Residencial Nardini - Americana-SP.",(19) 3309-2515,(19) Não Informado,americanaadm@tjsp.jus.br,6
70,4ª Vara Cível,"Av. Brasil, n. 2669 - Pq. Residencial Nardini - Americana-SP.",(19) 3309-2545,(19) Não Informado,americana4cv@tjsp.jus.br,6
71,Central de Mandados,"Av. Brasil, n. 2669 - Pq. Residencial Nardini - Americana-SP.",(19) 3309-2557,(19) Não Informado,americanasadm@tjsp.jus.br,6
72,Colégio Recursal,"Av. Brasil, n. 2669 - Pq. Residencial Nardini - Americana-SP.",(19) 3309-2559,(19) Não Informado,americanacolrec@tjsp.jus.br,6
73,Copa,"Av. Brasil, n. 2669 - Pq. Residencial Nardini - Americana-SP.",(19) 3309-2553,(19) Não Informado,americanaadm@tjsp.jus.br,6
74,Copa,localizada no prédio da Avenida  Brasil,(19) 3309-2553,(19) Não Informado,Não Informado,6
75,CEJUSC - Centro Judiciário de Solução de Conflitos e Cidadania,Instalado  na UNISAL - Campus Maria auxiliadora -  Avenida Cillos nº 3500,(19) 3471-9774,(19) Não Informado,cejusc.americana@tjsp.jus.br,6
76,Juizado Especial Cível,térreo,(16) 2109-1408,(16) Não Informado,americojec@tjsp.jus.br,7
77,2ª Vara Judicial,sala 2,(16) 2109-1421,(16) Não Informado,americo2@tjsp.jus.br,7
78,2º Ofício Judicial,sala2,(16) 2109-1415,(16) Não Informado,americo2@tjsp.jus.br,7
79,Seção de Distribuição Judicial,sala,(16) 2109-1405,(16) Não Informado,americobrasiliense@tjsp.jus.br,7
80,1ª Vara Judicial,1º,(16) 2109-1417,(16) Não Informado,americo1@tjsp.jus.br,7
81,1º Ofício Judicial,1 andar,(16) 2109-1407,(16) Não Informado,americo1@tjsp.jus.br,7
82,Seção de Administração Geral,Não Informado,(16) 2109-1420,(16) Não Informado,americoadm@tjsp.jus.br,7
83,Setor Social,x,(16) 2109-1413,(16) Não Informado,Não Informado,7
84,Promotoria de Justiça de Américo Brasiliense,1a. andar,(16) 3392-1929,(16) Não Informado,Não Informado,7
85,Ordem dos Advogados do Brasil,térreo,(16) 3392-8267,(16) Não Informado,Não Informado,7
86,Banco do Brasil,térreo,(16) 3392-4536,(16) Não Informado,Não Informado,7
87,Setor de Conciliação e Mediação,"Rua Dom Pedro II, 26",(16) 2109-1419,(16) Não Informado,Não Informado,7
88,Central de Mandados,Não Informado,(16) 2109-1401,(16) Não Informado,Não Informado,7
89,Copa,Não Informado,(16) Não Informado,(16) Não Informado,Não Informado,7
90,1ª Vara Judicial,"Cível, Criminal, Júri, Execuções Criminais",(19) 3938-6010 - Ramal Seção Cível,(19) Não Informado,amparo1@tjsp.jus.br,8
91,1º Ofício Judicial,"Cível, Criminal, Júri, Execuções Criminais",(19) 3938-6015 - Ramal Seção Criminal,(19) Não Informado,amparo1@tjsp.jus.br,8
92,DSAG - Diretoria de Serviço de Administração Geral,Expediente e Pessoal - Finanças e Patrimônio,(19) 3938-6005,(19) Não Informado,amparoadm@tjsp.jus.br,8
93,2ª Vara Judicial,Cível - Criminal - Infância e Juventude - Setor Técnico Psicossocial,(19) 3938-6020 - Ramal Seção Cível,(19) Não Informado,amparo2@tjsp.jus.br,8
94,2º Ofício Judicial,Cível - Criminal - Infância e Juventude - Setor Técnico Psicossocial,(19) 3938-6025 - Ramal Seção Criminal,(19) Não Informado,amparo2@tjsp.jus.br,8
95,Seção de Distribuição Judicial,Atend.: Advogados 13 às 19h; público com agendamento - 13 às 17h,(19) 3938-6030 - Ramal Distribuidor,(19) Não Informado,amparo@tjsp.jus.br,8
96,OAB Amparo - 10ª Subseção - Sala Advogados,Não Informado,(19) 3807-4480 - Ramal Sala no Fórum,(19) Não Informado,Não Informado,8
97,Banco do Brasil,Posto Bancário - Atend variável - período da covid  - 14 às 16h,(19) 3808-2180,(19) Não Informado,Não Informado,8
98,SADM - Seção Administrativa de Distribuição de Mandados,Mandados Judiciais - Oficiais de Justiça,(19) 3938-6031 - Ramal SADM,(19) Não Informado,amparosadm@tjsp.jus.br,8
101,1ª Vara Judicial,1.º andar,(18) Não Informado,(18) Não Informado,andradina1@tjsp.jus.br,9
102,2ª Vara Judicial,1.º andar sala s/nº,(18) 2122-2354 - Ramal 221,(18) Não Informado,Não Informado,9
103,1º Ofício Judicial,Não Informado,(18) Não Informado,(18) Não Informado,andradina1@tjsp.jus.br,9
104,2º Ofício Judicial,Não Informado,(18) Não Informado,(18) Não Informado,andradina2@tjsp.jus.br,9
106,Seção de Administração Geral,1.º andar,(18) 2122-2358,(18) Não Informado,andradinaadm@tjsp.jus.br,9
107,Seção de Distribuição Judicial,Não Informado,(18) 2122-2363,(18) Não Informado,andradina@tjsp.jus.br,9
108,3ª Vara Judicial,1.º andar sala s/nº,(18) Não Informado,(18) Não Informado,andradina3@tjsp.jus.br,9
109,3º Ofício Judicial,Não Informado,(18) Não Informado,(18) Não Informado,andradina3@tjsp.jus.br,9
111,Central de Mandados,Não Informado,(18) 2122-2376,(18) Não Informado,andradinasadm@tjsp.jus.br,9
112,Setor Técnico,Não Informado,(18) 2122-2378,(18) Não Informado,Não Informado,9
113,Colégio Recursal,Não Informado,(18) Não Informado,(18) Não Informado,Não Informado,9
114,Juizado Especial Cível,sala,(15) 3255-1548,(15) Não Informado,angatubajec@tjsp.jus.br,10
115,Vara Judicial,"1º andar, salas criminal e distribuidor",(15) 3255-1311 - Ramal 28,(15) Não Informado,angatuba@tjsp.jus.br,10
116,Ofício Judicial,sala criminal e de distribuição,(15) 3255-1311 - Ramal 28,(15) 3255-2435,angatuba@tjsp.jus.br,10
117,Seção de Administração Geral,sala,(15) 3255-1311,(15) Não Informado,angatubaadm@tjsp.jus.br,10
118,administraçao,Não Informado,(15) 3255-1311,(15) Não Informado,angatubaadm@tjsp.jus.br,10
119,1ª Vara Judicial,Não Informado,(12) 3311-9358 - Ramal DDD - 12,(12) Não Informado,aparecida1@tjsp.jus.br,11
120,1º Ofício Judicial,Não Informado,(12) 3311-9358 - Ramal DDD - 12,(12) Não Informado,aparecida1@tjsp.jus.br,11
121,2ª Vara Judicial,Não Informado,(12) 3311-9359 - Ramal DDD - 12,(12) Não Informado,aparecida2@tjsp.jus.br,11
122,2º Ofício Judicial,Não Informado,(12) 3311-9359 - Ramal DDD - 12,(12) Não Informado,aparecida2@tjsp.jus.br,11
123,Seção de Distribuição Judicial,Não Informado,(12) 3311-9356 - Ramal DDD - 12,(12) Não Informado,aparecida@tjsp.jus.br,11
124,OAB - 114ª Subseção,Não Informado,(12) 3105-2233 - Ramal DDD - 12,(12) 3105-2233 - Ramal DDD - 12,Não Informado,11
125,Banco do Brasil,Atendente Fernanda,(12) 3105-7111 - Ramal DDD - 12,(12) Não Informado,Não Informado,11
126,Juizado Especial Cível e Criminal,Não Informado,(12) 3311-9361 - Ramal DDD - 12,(12) Não Informado,aparecidajec@tjsp.jus.br,11
127,Seção de Administração Geral,Não Informado,(12) 3311-9355 - Ramal DDD - 12,(12) Não Informado,aparecidaadm@tjsp.jus.br,11
128,Central de Mandados,Não Informado,(12) Não Informado,(12) Não Informado,aparecidasadm@tjsp.jus.br,11
129,Copa,Não Informado,(12) Não Informado,(12) Não Informado,aparecidaadm@tjsp.jus.br,11
130,5ª Vara Cível,Não Informado,(18) 2102-9549,(18) Não Informado,aracatuba5cv@tjsp.jus.br,12
131,5º Ofício Cível,Não Informado,(18) Não Informado,(18) Não Informado,Não Informado,12
132,1ª Vara da Família e das Sucessões,térreo,(18) 2102-9545,(18) Não Informado,aracatuba1fam@tjsp.jus.br,12
133,1º Ofício da Família e das Sucessões,Não Informado,(18) 2102-9509,(18) Não Informado,aracatuba1fam@tjsp.jus.br,12
134,Vara da Comarca de Araçatuba,Não Informado,(18) 2102-9519,(18) Não Informado,aracatuba1@tjsp.jus.br,12
135,1º Ofício de Execuções Criminais,Anexo do Juri,(18) 2102-9508,(18) Não Informado,aracatubajuri@tjsp.jus.br,12
136,1ª Vara Cível,Não Informado,(18) 2102-9516,(18) Não Informado,aracatuba1cv@tjsp.jus.br,12
137,2ª Vara Cível,Não Informado,(18) 2102-9554,(18) Não Informado,aracatuba2cv@tjsp.jus.br,12
138,3ª Vara Cível,Térreo,(18) 2102-9558,(18) Não Informado,aracatuba3cv@tjsp.jus.br,12
139,1º Ofício Cível,Não Informado,(18) Não Informado,(18) Não Informado,Não Informado,12
140,2º Ofício Cível,Não Informado,(18) Não Informado,(18) Não Informado,Não Informado,12
141,3º Ofício Cível,Não Informado,(18) Não Informado,(18) Não Informado,Não Informado,12
142,1º Ofício Criminal,sala,(18) 2102-9528,(18) Não Informado,aracatuba1cr@tjsp.jus.br,12
143,1ª Vara Criminal,1º andar,(18) 2102-9528,(18) Não Informado,aracatuba1cr@tjsp.jus.br,12
144,2ª Vara Criminal,Não Informado,(18) 2102-9510,(18) Não Informado,aracatuba2cr@tjsp.jus.br,12
145,2º Ofício Criminal,Não Informado,(18) 2102-9510,(18) Não Informado,aracatuba2cr@tjsp.jus.br,12
146,Vara da Fazenda Pública,Vara da Fazenda Pública e Anexo Fiscal,(18) 2102-8601,(18) Não Informado,aracatubafaz@tjsp.jus.br,12
147,Administração,Não Informado,(18) 2102-9504,(18) Não Informado,aracatubaadm@tjsp.jus.br,12
148,Seção de Pessoal e Corregedoria,Administração,(18) 2102-9502,(18) Não Informado,aracatubaadm@tjsp.jus.br,12
149,Juizado Especial Cível,Não Informado,(18) 2102-9503,(18) Não Informado,aracatubajec@tjsp.jus.br,12
150,Ofício de Distribuição Judicial,Não Informado,(18) 2102-9555,(18) Não Informado,aracatuba@tjsp.jus.br,12
151,4ª Vara Cível,Não Informado,(18) 2102-9540,(18) Não Informado,aracatuba4cv@tjsp.jus.br,12
152,4º Ofício Cível,Não Informado,(18) Não Informado,(18) Não Informado,Não Informado,12
153,3ª Vara Criminal,Não Informado,(18) 2102-9547,(18) Não Informado,aracatuba3cr@tjsp.jus.br,12
154,3º Ofício Criminal,térreo,(18) 2102-9547,(18) Não Informado,aracatuba3cr@tjsp.jus.br,12
155,Administração Geral,Não Informado,(18) 2102-9504,(18) Não Informado,aracatubaadm@tjsp.jus.br,12
156,Central de Mandados,Não Informado,(18) 2102-9531,(18) Não Informado,aracatubasadm@tjsp.jus.br,12
157,CENTRAL DE ATENDIMENTO,Não Informado,(18) 2102-9548,(18) Não Informado,aracatubaadm@tjsp.jus.br,12
158,Setor Técnico (Psicossocial),Não Informado,(18) 2102-9506,(18) Não Informado,aracatubainf@tjsp.jus.br,12
159,Copa,Não Informado,(18) Não Informado,(18) Não Informado,aracatubaadm@tjsp.jus.br,12
160,5ª Vara Cível,Juiz -Dr. Mário Camargo Magano,(16) 2108-1140,(16) Não Informado,araraq5cv@tjsp.jus.br,13
161,5º Ofício Cível,Coordenador - Rinaldo Pires de Souza,(16) 2108-1140,(16) Não Informado,araraq5cv@tjsp.jus.br,13
162,Vara de Execuções Criminais,Juiz - Dr. Giovani Augusto Serra Azul Guimarães,(16) 2108-1182,(16) Não Informado,araraqjuri@tjsp.jus.br,13
163,Ofício de Execuções Criminais,Coordenadora - Roseli Aparecida Gustavo Grecco,(16) 2108-1182,(16) Não Informado,araraqjuri@tjsp.jus.br,13
164,"Vara da Infância, da Juventude e do Idoso",Juiz - Dr. Marco Aurélio Bortolin,(16) 2108-1106,(16) Não Informado,araraqinf@tjsp.jus.br,13
165,"Ofício da Infância, da Juventude e do Idoso",Coordenador - Ricardo Antônio Leite,(16) 2108-1106,(16) Não Informado,araraqinf@tjsp.jus.br,13
166,Vara do Juizado Especial Cível,Dr. Carlos Fakiani Macatti,(16) 2108-1108,(16) Não Informado,araraqjec@tjsp.jus.br,13
167,1ª Vara Cível,Juiz - Dr. Luiz Claudio Sartorelli,(16) 2108-1138,(16) Não Informado,araraq1cv@tjsp.jus.br,13
168,2ª Vara Cível,Juiz - Dr. Rogério Bellentani Zavarize,(16) Não Informado,(16) Não Informado,araraq2cv@tjsp.jus.br,13
169,3ª Vara Cível,Juiz - Dr. Paulo Luis Aparecido Treviso,(16) 2108-1198,(16) Não Informado,araraq3cv@tjsp.jus.br,13
170,1º Ofício Cível,Coordenador - José Carlos Ferreira da Silva,(16) 2108-1138,(16) Não Informado,araraq1cv@tjsp.jus.br,13
171,2º Ofício Cível,Coordenador - João Batista Rodrigues,(16) 2108-1134,(16) Não Informado,araraq2cv@tjsp.jus.br,13
172,3º Ofício Cível,Coordenador - Paulo Sérgio Mendes,(16) 2108-1198,(16) Não Informado,araraq3cv@tjsp.jus.br,13
173,1º Ofício Criminal,Coordenador - Vivaldo Rafacho Coneglian Júnior,(16) 2108-1131,(16) Não Informado,araraq1cr@tjsp.jus.br,13
174,1ª Vara Criminal,Juíza - Dra. Adriana Albergueti Albano,(16) 2108-1131,(16) Não Informado,araraq1cr@tjsp.jus.br,13
175,2ª Vara Criminal,Juiz - Dr. Sérgio Augusto de Freitas Jorge,(16) 2108-1175,(16) Não Informado,araraq2cr@tjsp.jus.br,13
176,2º Ofício Criminal,Coordenador - Marcio Aparecido Lima de Castro,(16) Não Informado,(16) Não Informado,araraq2cr@tjsp.jus.br,13
177,Ofício do Juizado Especial Cível,Coordenadora - Andrea Gonçalves Coletti,(16) 2108-1108,(16) Não Informado,araraqjec@tjsp.jus.br,13
178,Vara da Fazenda Pública,Juiz - Dr. Guilherme Stamillo Santarelli Zuliani,(16) Não Informado,(16) Não Informado,araraqfaz@tjsp.jus.br,13
179,Administração,Supervisora de Serviço - Sandra Rosana Galhardo Martins,(16) 2108-1162,(16) Não Informado,araraquaraadm@tjsp.jus.br,13
180,"Seção de Expediente, Finanças e Arquivo",Não Informado,(16) 2108-1168,(16) Não Informado,araraquaraadm@tjsp.jus.br,13
181,Seção de Pessoal e Corregedoria,Não Informado,(16) 2108-1168,(16) Não Informado,araraquaraadm@tjsp.jus.br,13
182,Ofício de Distribuição Judicial,Coordenadora - Andrea Maria Melluso,(16) 2108-1137,(16) Não Informado,araraquara@tjsp.jus.br,13
183,4ª Vara Cível,Juíza - Dra. Ana Claudia Habice Kock,(16) 2108-1101,(16) Não Informado,araraq4cv@tjsp.jus.br,13
184,4º Ofício Cível,Coordenador - Renato Costa Gorla,(16) 2108-1101,(16) Não Informado,araraq4cv@tjsp.jus.br,13
185,3ª Vara Criminal,Juiz - Dr. Roberto Raineri Simão,(16) 2108-1177,(16) Não Informado,araraq3cr@tjsp.jus.br,13
186,3º Ofício Criminal,Coordenador Alan Ricardo Ghiraldelli,(16) 2108-1177,(16) Não Informado,araraq3cr@tjsp.jus.br,13
187,2ª Vara da Família e das Sucessões,Dra. Glauce Helena Raphael Vicente Rodrigues,(16) 2108-1188,(16) Não Informado,araraq2fam@tjsp.jus.br,13
188,1º Ofício da Família e das Sucessões,Coordenadora - karine Alessandra Lafrata,(16) 2108-1187,(16) Não Informado,araraq1fam@tjsp.jus.br,13
189,1ª Vara da Família e das Sucessões,Juiz - Dr. Gustavo Carvalho de Barros,(16) 2108-1187,(16) Não Informado,araraq1fam@tjsp.jus.br,13
190,2º Ofício da Família e das Sucessões,Coordenadora - Ilcimari Aparecida Lopes,(16) 2108-1188,(16) Não Informado,araraq2fam@tjsp.jus.br,13
191,Ofício da Fazenda Pública,Coordenadora - Luciane Ferreira Cardoso,(16) 2108-1185,(16) Não Informado,araraqfaz@tjsp.jus.br,13
192,Colégio Recursal,Chefe de Seção Judiciário - Deisenea Gomiero Fornari,(16) 2108-1179,(16) Não Informado,araraqcolrec@tjsp.jus.br,13
194,Central de mandados,Chefe de Seção Judiciário - Clayton Rodrigues de Paula,(16) 2108-1173,(16) Não Informado,araraqsadm@tjsp.jus.br,13
197,Copa,Não Informado,(16) Não Informado,(16) Não Informado,Não Informado,13
198,Vara do Juizado Especial Cível e Criminal,Não Informado,(19) 3321-2368 - Ramal DDD-19,(19) Não Informado,ararasjec@tjsp.jus.br - Ramal Cartório,14
199,Vara Criminal,Não Informado,(19) 3321-2351 - Ramal DDD-19,(19) Não Informado,ararascr@tjsp.jus.br - Ramal Cartório,14
200,Ofício Criminal,Não Informado,(19) 3321-2351 - Ramal DDD-19,(19) Não Informado,ararascr@tjsp.jus.br - Ramal Cartório,14
201,1ª Vara Cível,Não Informado,(19) 3321-2355 - Ramal DDD-19,(19) Não Informado,araras1cv@tjsp.jus.br - Ramal Cartório,14
202,2ª Vara Cível,Não Informado,(19) 3321-2367 - Ramal DDD-19,(19) Não Informado,araras2cv@tjsp.jus.br - Ramal Cartório,14
203,1º Ofício Judicial,Não Informado,(19) 3321-2355 - Ramal DDD-19,(19) Não Informado,araras1cv@tjsp.jus.br - Ramal Cartório,14
204,2º Ofício Judicial,Não Informado,(19) 3321-2367 - Ramal DDD-19,(19) Não Informado,araras2cv@tjsp.jus.br - Ramal Cartório,14
205,Seção de Distribuição Judicial,térreo,(19) 3321-2362,(19) Não Informado,araras@tjsp.jus.br,14
206,3ª Vara Cível,Não Informado,(19) 3321-2356 - Ramal DDD-19,(19) Não Informado,araras3cv@tjsp.jus.br - Ramal Cartório,14
207,3º Ofício Judicial,Não Informado,(19) 3321-2356 - Ramal DDD-19,(19) Não Informado,araras3cv@tjsp.jus.br - Ramal Cartório,14
208,Seção de Administração Geral,térreo,(19) 3321-2358 - Ramal DDD-19,(19) Não Informado,ararasadm@tjsp.jus.br,14
209,Ofício do Juizado Especial Cível e Criminal,Térreo,(19) 3321-2368 - Ramal DDD-19,(19) Não Informado,ararasjec@tjsp.jus.br - Ramal Cartório,14
210,Setor das Execuções Fiscais,"Av. Zurita Nº 681, Jardim Belvedere  CEP-13601-020",(19) 3321-2251 - Ramal DDD-19,(19) Não Informado,ararassef@tjsp.jus.br - Ramal Setor,14
211,Banco do Brasil,Térreo,(19) 3544-6145,(19) Não Informado,Não Informado,14
212,Sala da OAB,Térreo,(19) 3541-2925 - Ramal Casa Advogado,(19) Não Informado,Não Informado,14
213,Promotoria,1º andar,(19) 3541-0688 - Ramal DDD-19,(19) Não Informado,Não Informado,14
214,Assistente Social,1º andar,(19) 3321-2361 - Ramal DDD-19,(19) Não Informado,ararasservicosocial@tjsp.jus.br - Ramal Setor,14
215,ANEXO DA INFÂNCIA E JUVENTUDE,Não Informado,(19) 3321-2357 - Ramal DDD-19,(19) Não Informado,ararascr@tjsp.jus.br - Ramal Setor,14
216,Central de atendimentos,Não Informado,(19) Não Informado,(19) Não Informado,Não Informado,14
217,Central de Mandados,Não Informado,(19) 3321-2366 - Ramal DDD-19,(19) Não Informado,ararassadm@tjsp.jus.br - Ramal Setor,14
218,Copa,Não Informado,(19) Não Informado,(19) Não Informado,Não Informado,14
220,1ª Vara Judicial,Não Informado,(11) 2833-8651,(11) Não Informado,aruja1@tjsp.jus.br,15
