id_unidade,unidade,telefone,fax,email,cj,num_varas_instaladas,entrancia,dist_capital,tensao_eletrica,endereco_lougradouro,endereco_cep,endereco_municipio,endereco_uf,id_comarca,comarca_corrigido,id_cj
11,Fórum Aparecida,(12) 3311-9355,Não Informado,aparecidaadm@tjsp.jus.br,Guaratinguetá,2,Entrância Inicial,163.47 Km,110V,"Avenida Padroeira do Brasil , 180 - São Roque",12573-276,Aparecida,SP,3502507.0,Aparecida,48.0
12,Fórum Araçatuba I - PRINCIPAL,(18) 2102-9548,Não Informado,aracatubaadm@tjsp.jus.br,Araçatuba,15,Entrância Final,469.04 Km,110V,"Praça Doutor Maurício Martins Leite , 60 - Vila São Paulo",16015-600,Araçatuba,SP,3502804.0,Araçatuba,36.0
13,Fórum Juiz Macedo Couto,(16) 2108-1167,Não Informado,araraquaraadm@tjsp.jus.br,Araraquara,14,Entrância Final,250.99 Km,110V,"Rua dos Libaneses , 1998 - Carmo",14801-425,Araraquara,SP,3503208.0,Araraquara,13.0
14,Fórum Araras - (Des.Manoel Carlos  da Costa Leite),(19) 3321-2358,(19) 3321-2358,ararasadm@tjsp.jus.br,Limeira,5,Entrância Intermediária,152.98 Km,220V,"Avenida Antônio Prudente , 322 - Jd. Universitário",13607-335,Araras,SP,3503307.0,Araras,10.0
15,Fórum Fernando de Albuquerque Prado,(11) 2833-8651,(11) 2192-2805,Não Informado,Guarulhos,2,Entrância Intermediária,36.30 Km,110V,"Rua Albino Rodrigues Neves , 585 - Center Ville",07401-125,Arujá,SP,3503901.0,Arujá,44.0
16,Fórum Assis I - Dr. José Claudino de Oliveira Dias,(18) 3402-1585,Não Informado,assisadm@tjsp.jus.br,Assis,7,Entrância Final,398.53 Km,220V,"Rua Doutor Lício Brandão de Camargo , 50 - Vila Clementina",19802-300,Assis,SP,3504008.0,Assis,26.0
17,"Fórum ""Dr. Álvaro Correia Lima""",(11) 3402-5532,Não Informado,atibaiaadm@tjsp.jus.br,Bragança Paulista,8,Entrância Final,48.72 Km,110V,"Rua Doutor José Roberto Paim , 99 - Parque dos Coqueiros",12945-007,Atibaia,SP,3504107.0,Atibaia,6.0
18,Fórum Auriflama - (Ministro Domingos Franciulli Neto),(17) 3482-8301,Não Informado,auriflamaadm@tjsp.jus.br,Jales,1,Entrância Inicial,513.98 Km,110V,"Rua Doutor Márcio da Mata Bianco , 52/25 - centro",15350-000,Auriflama,SP,3504206.0,Auriflama,55.0
19,Fórum Avaré - I,(14) 2122-5605,Não Informado,avareadm@tjsp.jus.br,Avaré,4,Entrância Final,239.08 Km,220V,"Rua: ABILIO GARCIA , 527 - Vila Jussara Maria",18706-040,Avaré,SP,3504503.0,Avaré,24.0
20,DR JOSÉ RANGEL DE ALMEIDA,(12) 2138-5452,Não Informado,bananaladm@tjsp.jus.br,Guaratinguetá,1,Entrância Inicial,255.29 Km,110V,"Praça Rubião Jr. 305 , 305 - Centro",12850-000,Bananal,SP,3504909.0,Bananal,48.0
21,"FORUM ""DR. JOAQUIM FERNANDO PAES DE BARROS NETTO""",(14) 3663-9405,Não Informado,baririadm@tjsp.jus.br,Jaú,1,Entrância Inicial,270.85 Km,110V,"Avenida Claudionor Barbieri nº 488 ,  - Centro",17250-027,Bariri,SP,3505203.0,Bariri,33.0
22,Fórum I Barra Bonita,(14) 2162-5266,Não Informado,barrabonitaadm@tjsp.jus.br,Jaú,2,Entrância Inicial,228.89 Km,220V,"Rua Prudente de Moraes - Praça Emydio Meira , 520 - Jardim Vista Alegre",17340-102,Barra Bonita,SP,3505302.0,Barra Bonita,33.0
23,Fórum I Barretos,(17) 3043-9133,Não Informado,barretosadm@tjsp.jus.br,Barretos,5,Entrância Final,387.59 Km,110V,"Avenida Centenário da Abolição , 1500 - América",14783-195,Barretos,SP,3505500.0,Barretos,14.0
24,Fórum Barueri - (Principal) - Desativado,Não Informado,Não Informado,Não Informado,Não Informado,0,Não Informado,Não Informado,Não Informado,"Rua Ministro Raphael de Barros Monteiro , 110 - Jardim dos Camargos",06410-901,Barueri,SP,,,
25,Foro da Comarca de Bastos,(14) 3478-3001,(14) 3478-3002,bastosadm@tjsp.jus.br,Tupã,1,Entrância Inicial,457.46 Km,220V,"Rua XV de Novembro , 50 - Jardim Hikari",17690-000,Bastos,SP,3505807.0,Bastos,30.0
26,Fórum Batatais,(16) 2110-1816,Não Informado,batataisadm@tjsp.jus.br,Batatais,3,Entrância Final,311.16 Km,110V,"Praça Doutor José Arantes Junqueira , 01 - Centro",14300-023,Batatais,SP,3505906.0,Batatais,39.0
27,Fórum Bauru I - (Principal),Não Informado,Não Informado,bauruadm@tjsp.jus.br,Bauru,12,Entrância Final,283.65 Km,110V,"Rua Afonso Pena , 5-40 - Bela Vista",17060-900,Bauru,SP,3506003.0,Bauru,32.0
28,Fórum Bebedouro - Desembargador Adriano Marrey,(17) 3313-5918,Não Informado,Não Informado,Barretos,3,Entrância Intermediária,345.65 Km,110V,"Avenida Oswaldo Perrone , 218 - Parque Eldorado",14706-136,Bebedouro,SP,3506102.0,Bebedouro,14.0
29,Fórum da Comarca de Bertioga,Não Informado,(13) 2101-1403,bertiogaadm@tjsp.jus.br,Santos,2,Entrância Inicial,60.98 Km,220V,"Avenida Anchieta , 162/192 - Centro",11250-039,Bertioga,SP,3506359.0,Bertioga,1.0
30,Fórum da Comarca de Bilac - (Coriolano Pompeu Filho),(18) 3659-9314,Não Informado,bilacadm@tjsp.jus.br,Araçatuba,1,Entrância Inicial,460.54 Km,220V,"Rua Olavo Bilac , 466 - Centro",16210-000,Bilac,SP,3506409.0,Bilac,36.0
31,Fórum I Birigüi,(18) 3211-8227,Não Informado,biriguiadm@tjsp.jus.br,Araçatuba,6,Entrância Intermediária,456.07 Km,110V,"Rua Faustino Segura , 214 - Parque São Vicente",16200-370,Birigui,SP,3506508.0,Birigui,36.0
32,Fórum Boituva I  (Ofícios Judiciais),Não Informado,Não Informado,boituvaadm@tjsp.jus.br,Itu,3,Entrância Inicial,109.74 Km,220V,"Rua Manoel dos Santos Freire , 161 - Centro",18550-073,Boituva,SP,3507001.0,Boituva,20.0
33,"Fórum ""Desembargador Antonio Luis Chaves Camargo""",(16) 3266-1010,Não Informado,Não Informado,Araraquara,1,Entrância Inicial,329.53 Km,110V,"Rua Joaquim Martins Carvalho , 676 - Centro",14955-000,Borborema,SP,3507407.0,Borborema,13.0
35,Fórum Bragança Paulista - Professor Waldemar Martins Ferreira,(11) 3404-5835,Não Informado,bragancaadm@tjsp.jus.br,Bragança Paulista,7,Entrância Final,66.96 Km,110V,"Avenida dos Imigrantes , 1501 - Jd. America",12902-000,Bragança Paulista,SP,3507605.0,Bragança Paulista,6.0
36,Fórum I Brodowski,(11) 3664-2777,(11) 3116-9801,brodowskiadm@tjsp.jus.br,Batatais,1,Entrância Inicial,303.17 Km,110V,"Avenida Papa João XXIII, 1550 , 1550 - Jd. Champagnat",14340-000,Brodowski,SP,3507803.0,Brodowski,39.0
37,Fórum Brotas - Desembargador Júlio D´Elboux Guimarães,(14) 3654-7703,Não Informado,brotasadm@tjsp.jus.br,Rio Claro,1,Entrância Inicial,207.53 Km,110V,"Praça Nove de Julho , 26 - Centro",17380-000,Brotas,SP,3507902.0,Brotas,9.0
38,Fórum Buritama,(18) 3691-9721,Não Informado,buritamaadm@tjsp.jus.br,Araçatuba,2,Entrância Inicial,454.50 Km,220V,"Avenida Frei Marcelo Manilia , 739 - Centro",15290-000,Buritama,SP,3508108.0,Buritama,36.0
39,"Fórum ""Desembargador Geraldo de Faria Lemos Pinheiro""",(11) 5132-1054,Não Informado,cabreuvaadm@tjsp.jus.br,Itu,1,Entrância Inicial,57.30 Km,110V,"Rua Adhemar Clemente Nunes , 11 - Jacaré",13318-136,Cabreúva,SP,3508405.0,Cabreúva,20.0
40,FÓRUM CAÇAPAVA - CÍVEL / CEJUSC - PRAÇA DA BANDEIRA,(12) 3221-5664,(12) 0000-0000,cacapavaadm@tjsp.jus.br,Taubaté,0,Entrância Intermediária,107.09 Km,220V,"Praça da Bandeira , 177 - Centro",12281-630,Caçapava,SP,3508504.0,Caçapava,47.0
41,Ministro José Rodrigues Alves Sobrinho,(12) 2138-5414,Não Informado,cachptaadm@tjsp.jus.br,Guaratinguetá,3,Entrância Inicial,193.20 Km,110V,"Praça Prefeito Prado Filho , s/n - Centro",12630-000,Cachoeira Paulista,SP,3508603.0,Cachoeira Paulista,48.0
42,Fórum Caconde I - (Dr. Antônio de Queiroz Filho),(19) 3662-7812,Não Informado,cacondeadm@tjsp.jus.br,Casa Branca,1,Entrância Inicial,224.49 Km,110V,"Praça Coronel Gustavo Ribeiro , 50 - Centro",13770-000,Caconde,SP,3508702.0,Caconde,43.0
43,Fórum Cafelândia I - (Principal),(14) 3554-9704,Não Informado,cafelandiaadm@tjsp.jus.br,Lins,1,Entrância Inicial,361.56 Km,110V,"Avenida Dionísia Zucchi , 330 - centro",16503034,Cafelândia,SP,3508801.0,Cafelândia,35.0
44,Fórum de Caieiras I,(11) 2189-9204,Não Informado,caieirasadm@tjsp.jus.br,Jundiaí,2,Entrância Intermediária,23.09 Km,110V,"Rua Doutor Armando Pinto , 360 - Centro",07700-175,Caieiras,SP,3509007.0,Caieiras,5.0
45,Fórum I Cajamar - (Desembargador Marcos Nogueira Garcez),(11) 3245-8015,Não Informado,Não Informado,Jundiaí,2,Entrância Intermediária,32.56 Km,220V,"Avenida Joaquim Janus Penteado , 96 - Distrito de Jordanésia",07786-520,Cajamar,SP,3509205.0,Cajamar,5.0
46,Fórum Cajuru (Dr. Amaury Manço),(16) 3667-3033,Não Informado,cajuruadm@tjsp.jus.br,Ribeirão Preto,1,Entrância Inicial,261.89 Km,110V,"Rua José Bonifácio , 817 - Centro",14240-000,Cajuru,SP,3509403.0,Cajuru,41.0
47,Fórum Campinas I - Palácio da Justiça,(19) 2129-6451,Não Informado,campinasadm@tjsp.jus.br,Campinas,1,Entrância Final,83.55 Km,110V,"Rua Regente Feijó , s/nº - Centro",13019-900,Campinas,SP,3509502.0,Campinas,8.0
48,Foro Regional de Vila Mimosa - Campinas (Des. Antonio Carlos A. Braga),(19) 2101-9001,(19) 0000-0000,vimimosaadm@tjsp.jus.br,Campinas,5,Entrância Final,83.55 Km,110V,"Rua Dionisio Cazotti , 719 - Vila Mimosa",13050-050,Campinas,SP,3509502.0,Campinas,8.0
49,Fórum de Campo Limpo Paulista,(11) 3378-5240,Não Informado,campolimpoadm@tjsp.jus.br,Jundiaí,2,Entrância Intermediária,40.92 Km,220V,"Rua Marechal Deodoro da Fonseca , 550 - Vila Tavares",13230-130,Campo Limpo Paulista,SP,3509601.0,Campo Limpo Paulista,5.0
50,Fórum Campos do Jordão I - (Des.José Carlos de Macedo Soares),(12) 2144-1407,(12) 2144-1406,camposjordaoadm@tjsp.jus.br,Taubaté,2,Entrância Inicial,139.67 Km,110V,"Avenida Doutor Januário Miráglia , 1200 - Vila Abernéssia",12460-000,Campos do Jordão,SP,3509700.0,Campos do Jordão,47.0
51,Fórum Cananéia - JOAQUIM GUEDES ALCOFORADO,(13) 3851-5606,Não Informado,cananeiaadm@tjsp.jus.br,Registro,1,Entrância Inicial,209.11 Km,220V,"Rua Pero Lobo , 75 - CENTRO",11990-000,Cananéia,SP,3509908.0,Cananéia,21.0
52,Fórum Cândido Mota,(18) 2142-5151,Não Informado,candidomotaadm@tjsp.jus.br,Assis,2,Entrância Inicial,393.71 Km,220V,"Praça Antonio Pípolo , s/n - Centro",19880-047,Cândido Mota,SP,3510005.0,Cândido Mota,26.0
53,Fórum Capivari,(19) 3491-1377,(19) 2146-7056,capivariadm@tjsp.jus.br,Piracicaba,2,Entrância Inicial,108.23 Km,110V,"Rua Doutor João Adolfo Stein , 171 - Pão de Açucar",13360-000,Capivari,SP,3510401.0,Capivari,34.0
54,Fórum Caraguatatuba,(12) 3203-1901,Não Informado,caraguaadm@tjsp.jus.br,Caraguatatuba,4,Entrância Final,124.88 Km,220V,"Praça Doutor José Rebello da Cunha , 73 - Sumaré",11661-050,Caraguatatuba,SP,3510500.0,Caraguatatuba,51.0
55,Fórum Carapicuíba I - (Des. Coaracy Lacerda Madureira),(11) 4506-1792,Não Informado,carapicuibaadm@tjsp.jus.br,Osasco,6,Entrância Final,20.58 Km,110V,"Avenida Des. Eduardo Cunha de Abreu , 215 - Vila Municipal",06328-330,Carapicuíba,SP,3510609.0,Carapicuíba,4.0
56,Fórum Cardoso,(17) 3453-1002,Não Informado,cardosoadm@tjsp.jus.br,Votuporanga,1,Entrância Inicial,512.80 Km,110V,"Rua Urias de Paula e Silva , 1351 - Jd Gouvêa",15570-000,Cardoso,SP,3510708.0,Cardoso,17.0
57,Fórum I Casa Branca,(19) 2160-1104,Não Informado,casabrancaadm@tjsp.jus.br,Casa Branca,2,Entrância Intermediária,202.58 Km,110V,"Praça Ministro Costa Manso , 78 - centro",13700-000,Casa Branca,SP,3510807.0,Casa Branca,43.0
58,"Fórum ""Dr. Renato Bueno Netto""",(17) 3311-4400,Não Informado,catanduvaadm@tjsp.jus.br,Catanduva,7,Entrância Final,359.94 Km,220V,"Parque da Américas , 55 - Centro",15800-032,Catanduva,SP,3511102.0,Catanduva,15.0
59,Fórum Cerqueira César,(14) 2174-1151,Não Informado,cerqcesaradm@tjsp.jus.br,Avaré,3,Entrância Inicial,264.58 Km,110V,"Rua Olimpio Pavan , 355 - Centro",18760015,Cerqueira César,SP,3511409.0,Cerqueira César,24.0
60,Fórum Cerquilho,(15) 3415-3961,(15) 3415-3962,cerquilhoadm@tjsp.jus.br,Piracicaba,1,Entrância Inicial,120.85 Km,110V,"Avenida Washington Luiz , 2.501 - Chave Barros",18523-480,Cerquilho,SP,3511508.0,Cerquilho,34.0
61,Fórum Chavantes,(14) 3342-1926,Não Informado,chavantesadm@tjsp.jus.br,Ourinhos,1,Entrância Inicial,318.89 Km,220V,"Avenida Governador Adhemar Pereira de Barros , 1007 - Chavantes Novo",18970-284,Chavantes,SP,3557204.0,Chavantes,25.0
62,Fórum Colina - Desembargador Alcides Faro,(17) 2141-1203,Não Informado,colinaadm@tjsp.jus.br,Barretos,2,Entrância Inicial,371.28 Km,110V,"Rua Nestor Silveira Guimarães , 45 - CECAP",14770-000,Colina,SP,3512001.0,Colina,14.0
63,Fórum I Conchal,(19) 3866-9902,Não Informado,conchaladm@tjsp.jus.br,Mogi Mirim,1,Entrância Inicial,146.17 Km,110V,"Rua XV de Novembro , 449 - Centro",13835-000,Conchal,SP,3512209.0,Conchal,7.0
64,Fórum Conchas V [Desativado],(14) 3845-1023,Não Informado,Não Informado,Não Informado,0,Não Informado,Não Informado,Não Informado,"Rua Goiás , 521 - Centro",18570-000,Conchas,SP,,,
65,Fórum Cordeirópolis,(19) 3556-6604,(19) 3546-2500,Não Informado,Limeira,6,Entrância Inicial,145.29 Km,110V,"Rua Sete de Setembro , 350/376 - Centro",13490-000,Cordeirópolis,SP,3512407.0,Cordeirópolis,10.0
66,Desembargador Rubens Andrade de Noronha,(19) 3204-1155,Não Informado,cosmopolisadm@tjsp.jus.br,Campinas,1,Entrância Inicial,115.49 Km,110V,"R. RAMOS DE AZEVEDO , 365 - Centro",13150-025,Cosmópolis,SP,3512803.0,Cosmópolis,8.0
67,Fórum Cotia I - Theodomiro Dias,Não Informado,Não Informado,cotiaadm@tjsp.jus.br,Itapecerica da Serra,6,Entrância Intermediária,29.50 Km,110V,"Rua Topázio , 585 - Jardim nomura",06717-235,Cotia,SP,3513009.0,Cotia,52.0
68,Fórum I Cravinhos,(16) 2122-1056,Não Informado,cravinhosadm@tjsp.jus.br,Ribeirão Preto,3,Entrância Inicial,269.98 Km,110V,"Avenida Fagundes , 29 - centro",14140-000,Cravinhos,SP,3513108.0,Cravinhos,41.0
69,Fórum I Cruzeiro,(12) 2122-6822,Não Informado,cruzeiroadm@tjsp.jus.br,Guaratinguetá,3,Entrância Intermediária,202.42 Km,110V,"Rua Francisco Marzano , 100 - Vila Celestina",12710-900,Cruzeiro,SP,3513405.0,Cruzeiro,48.0
70,Fórum Cubatão - I,(13) 3325-6716,Não Informado,cubataoadm@tjsp.jus.br,Santos,4,Entrância Intermediária,44.16 Km,220V,"Avenida Joaquim Miguel Couto , 320 - Jd. São Francisco",11500-005,Cubatão,SP,3513504.0,Cubatão,1.0
71,Fórum I Cunha (Desembargador Hildebrando Dantas de Freitas),(12) 2138-3953,(12) 2138-3953,cunhaspadm@tjsp.jus.br,Guaratinguetá,1,Entrância Inicial,179.07 Km,110V,"Praça Doutor Prudente Guimarães , 12 - Centro",12530-000,Cunha,SP,3513603.0,Cunha,48.0
72,FÓRUM DA COMARCA DE DESCALVADO,(19) 2145-9001,Não Informado,descalvadoadm@tjsp.jus.br,São Carlos,2,Entrância Inicial,208.75 Km,220V,"Praça Dr. Luciano Esteves , s/n - Centro",13690-000,Descalvado,SP,3513702.0,Descalvado,12.0
73,Fórum Diadema - Criminal,(11) 2763-8688,Não Informado,diademaadm@tjsp.jus.br,São Bernardo do Campo,4,Entrância Final,15.40 Km,110V,"Avenida Sete de Setembro , 399 - Vila Conceição",09912-010,Diadema,SP,3513801.0,Diadema,2.0
74,Fórum Dois Córregos,(14) 3632-9011,Não Informado,doiscorregosadm@tjsp.jus.br,Jaú,1,Entrância Inicial,221.70 Km,110V,"Praça Francisco Simões , 142 - Centro",17300-055,Dois Córregos,SP,3514106.0,Dois Córregos,33.0
75,Fórum Dracena I - (Principal),(18) 2137-1401,Não Informado,dracenaadm@tjsp.jus.br,Dracena,3,Entrância Intermediária,552.86 Km,110V,"Rua Bolívia , 137 - Jd América",17911-250,Dracena,SP,3514403.0,Dracena,29.0
76,Fórum Duartina,(14) 3282-8801,Não Informado,duartinaadm@tjsp.jus.br,Bauru,2,Entrância Inicial,310.12 Km,110V,"Rua Sete de Setembro , 486 - centro",17470-000,Duartina,SP,3514502.0,Duartina,32.0
77,Fórum Eldorado Paulista I,(13) 3871-7406,Não Informado,eldoradoadm@tjsp.jus.br,Registro,0,Entrância Inicial,184.46 Km,110V,"Rua Professor Francisco Canto , 14 - Centro",11960-000,Eldorado,SP,3514809.0,Eldorado,21.0
78,Fórum Desembargador Gilberto Valente da Silva - Comarca de Embu das Artes,(11) 4506-1838,Não Informado,embuadm@tjsp.jus.br,Itapecerica da Serra,4,Entrância Final,24.71 Km,110V,"Av. Vereador Jorge de Souza , 855 - Tingidor",06803270,Embu das Artes,SP,3515004.0,Embu das Artes,52.0
79,Fórum Embu-Guaçu,(11) 4506-1346,Não Informado,embuguacuadm@tjsp.jus.br,Itapecerica da Serra,1,Entrância Intermediária,36.26 Km,220V,"Rua Boa Vista , 10 - Centro",06900-000,Embu-Guaçu,SP,3515103.0,Embu-Guaçu,52.0
80,Fórum Espírito Santo do Pinhal I,(19) 2157-1356,Não Informado,pinhaladm@tjsp.jus.br,São João da Boa Vista,2,Entrância Inicial,151.27 Km,110V,"Avenida 9 de Julho , 90 - Centro",13990-000,Espírito Santo do Pinhal,SP,3515186.0,Espírito Santo do Pinhal,50.0
81,Fórum Estrela D'Oeste,(17) 3833-1269,(17) 3833-1558,estreladoesteadm@tjsp.jus.br,Fernandópolis,1,Entrância Inicial,531.18 Km,220V,"Rua Minas Gerais , s/n - centro",15650-000,Estrela dOeste,SP,3515202.0,Estrela d'Oeste,18.0
82,Fórum Desembargador Edmond Acar,(14) 3308-9978,Não Informado,farturaadm@tjsp.jus.br,Avaré,1,Entrância Inicial,293.66 Km,110V,"Rua Anacleto Gonçalves Neves , 250 - Centro",18870-007,Fartura,SP,3515400.0,Fartura,24.0
83,Fórum Fernandópolis I,Não Informado,Não Informado,fernandopolisadm@tjsp.jus.br,Fernandópolis,7,Entrância Final,519.93 Km,110V,"Avenida Raul Gonçalves Júnior , 850 - Jardim Santa Rita",15610-000,Fernandópolis,SP,3515509.0,Fernandópolis,18.0
84,"Fórum de Ferraz de Vasconcelos ""Desembargador Ruy Toledo de Assumpção""",(11) 4506-1454,Não Informado,ferrazadm@tjsp.jus.br,Mogi das Cruzes,3,Entrância Final,27.23 Km,110V,"Av. Santos Dumont , 1.535 - Jardim Vista Alegre",08531-100,Ferraz de Vasconcelos,SP,3515707.0,Ferraz de Vasconcelos,45.0
86,Fórum Francisco Morato I - Vanderlei Aparecido Borges,Não Informado,Não Informado,francmoratoadm@tjsp.jus.br,Jundiaí,3,Entrância Final,31.60 Km,110V,"Rua João Mendes Júnior , 626 - Jardim Professor Francisco Morato",07910-220,Francisco Morato,SP,3516309.0,Francisco Morato,5.0
87,Fórum Franco da Rocha,(11) 4322-9438,Não Informado,francorochaadm@tjsp.jus.br,Jundiaí,5,Entrância Intermediária,26.79 Km,110V,"Praça Ministro Nelson Hungria , 01 - Centro",07850-900,Franco da Rocha,SP,3516408.0,Franco da Rocha,5.0
88,Comarca de Gália,(14) 3274-9801,Não Informado,galiaadm@tjsp.jus.br,Marília,1,Entrância Inicial,329.80 Km,110V,"Avenida São José , 431 - Centro",17450-001,Gália,SP,3516606.0,Gália,31.0
89,Fórum I Garça,(14) 3588-1901,Não Informado,garcaadm@tjsp.jus.br,Marília,3,Entrância Inicial,343.22 Km,110V,"Praça Doutor Martino Funchal de Barros , 50 - Willians",17402-059,Garça,SP,3516705.0,Garça,31.0
90,Fórum General Salgado (ARGYMIRO ACAYABA DE TOLEDO),(17) 3461-3807,Não Informado,Não Informado,Fernandópolis,1,Entrância Inicial,501.19 Km,220V,"Rua Azílio Antonio do Prado , 991 - centro",15300-000,General Salgado,SP,3516903.0,General Salgado,18.0
91,Fórum Getulina I - (Principal),(14) 2185-5108,Não Informado,getulinaadm@tjsp.jus.br,Lins,1,Entrância Inicial,389.80 Km,110V,"Rua Doutor Carlos de Campos , 660 - Centro",16450-000,Getulina,SP,3517000.0,Getulina,35.0
92,Fórum da Comarca de Guaíra I,(17) 3017-1511,(17) 3017-1504,Não Informado,Barretos,2,Entrância Inicial,398.52 Km,110V,"Avenida 17 , 414 - Centro",14790-000,Guaíra,SP,3517406.0,Guaíra,14.0
93,Fórum Guará - Desembargador Valentim Alves da Silva,(16) 3831-3280,Não Informado,guaraadm@tjsp.jus.br,Ituverava,1,Entrância Inicial,367.89 Km,110V,"Rua Carlos de Campos , 260 - Centro",14580-000,Guará,SP,3517703.0,Guará,40.0
94,Fórum I Guararapes,(18) 3606-8506,Não Informado,guararapesadm@tjsp.jus.br,Araçatuba,2,Entrância Inicial,484.03 Km,110V,"Rua Luiz Lincoln de Oliveira , s/n - Centro",16700-000,Guararapes,SP,3518206.0,Guararapes,36.0
95,Fórum I Guararema - (Dr. Francisco Xavier Moretz Sohm),(11) 2838-7659,Não Informado,guararemaadm@tjsp.jus.br,Mogi das Cruzes,1,Entrância Inicial,63.05 Km,220V,"Rua Expedicionário Brasílio Pinto de Almeida , 42 - Centro",08900-000,Guararema,SP,3518305.0,Guararema,45.0
96,Fórum Guaratinguetá I (Principal),Não Informado,Não Informado,guaratadm@tjsp.jus.br,Guaratinguetá,4,Entrância Final,168.46 Km,110V,"Av. Dr. Ariberto Pereira da Cunha , 280 - Alberto Byington",12516-410,Guaratinguetá,SP,3518404.0,Guaratinguetá,48.0
97,"Fórum da Comarca de Guariba ""Desembargador Humberto Andrade Junqueira""",(16) 3231-8452,Não Informado,guaribaadm@tjsp.jus.br,Jaboticabal,1,Entrância Inicial,293.16 Km,110V,"Rua Feres Sadalla , 761 - Centro",14840-000,Guariba,SP,3518602.0,Guariba,42.0
98,Fórum Guarujá I -  CÍVEL/CRIMINAL,(13) 3346-4829,Não Informado,guarujaadm@tjsp.jus.br,Santos,7,Entrância Final,62.80 Km,110V,"Rua Silvio Daige , 280 - Enseada",11440550,Guarujá,SP,3518701.0,Guarujá,1.0
100,Fórum Guarulhos I - (Fórum Criminal - Dr. Murilo Matos Faria),Não Informado,Não Informado,guarulhosadm@tjsp.jus.br,Guarulhos,10,Entrância Final,14.13 Km,110V,"Rua José Maurício , 103 - Centro",07011-060,Guarulhos,SP,3518800.0,Guarulhos,44.0
101,FÓRUM DA COMARCA DE HORTOLÂNDIA,(19) 3309-4769,(19) 3309-4767,hortolandiaadm@tjsp.jus.br,Americana,6,Entrância Final,97.20 Km,110V,"RUA ÍMOLA , 75 - JARDIM RESIDENCIAL FIRENZE",13189-212,Hortolândia,SP,3519071.0,Hortolândia,53.0
102,COMARCA DE IACANGA,(14) 3294-9802,Não Informado,iacangaadm@tjsp.jus.br,Araraquara,1,Entrância Inicial,306.62 Km,110V,"Rua Padre Jorge Mattar , 150 - Centro",17180-041,Iacanga,SP,3519105.0,Iacanga,13.0
103,Fórum Ibaté,Não Informado,Não Informado,ibateadm@tjsp.jus.br,São Carlos,1,Entrância Inicial,225.49 Km,220V,"Rua Albano Buzo , 367 - Jd. Mariana",14817-012,Ibaté,SP,3519303.0,Ibaté,12.0
