id_municipio,id_municipio_tjsp,municipio_tjsp,municipio_corrigido,raj,comarca_tjsp,comarca_sede,unidades
3500907,6514,Altair,Altair,8ª RAJ São José do Rio Preto,Olímpia,0,Fórum Olímpia III - (Juizado Especial)
3500907,6514,Altair,Altair,8ª RAJ São José do Rio Preto,Olímpia,0,Fórum Olímpia IV - (Execução Fiscal)
3500907,6514,Altair,Altair,8ª RAJ São José do Rio Preto,Olímpia,0,Fórum Olímpia V - (CEJUSC)
3500907,6514,Altair,Altair,8ª RAJ São José do Rio Preto,Olímpia,0,Fórum Olímpia VI - (Anexo do JEC - UAAJ - CAJOBI)
3501004,6515,Altinópolis,Altinópolis,6ª RAJ Ribeirão Preto,Altinópolis,1,"Fórum ""Desembargador ALFREDO FANUCCHI NETO"""
3501103,6516,Alto Alegre,Alto Alegre,2ª RAJ Araçatuba,Penápolis,0,Fórum Penápolis I -
3501103,6516,Alto Alegre,Alto Alegre,2ª RAJ Araçatuba,Penápolis,0,Fórum Penápolis II - (Juizado Especial)
3501152,6517,Alumínio,Alumínio,10ª RAJ Sorocaba,Mairinque,0,Fórum Mairinque
3501202,6518,Álvares Florence,Álvares Florence,8ª RAJ São José do Rio Preto,Votuporanga,0,Fórum Votuporanga I
3501202,6518,Álvares Florence,Álvares Florence,8ª RAJ São José do Rio Preto,Votuporanga,0,Fórum Votuporanga II - (Anexo Fiscal)
3501202,6518,Álvares Florence,Álvares Florence,8ª RAJ São José do Rio Preto,Votuporanga,0,Fórum Votuporanga III - (CEJUSC)
3501301,6519,Álvares Machado,Álvares Machado,5ª RAJ Presidente Prudente,Presidente Prudente,0,Fórum Presidente Prudente - Francisco de Souza Nogueira
3501301,6519,Álvares Machado,Álvares Machado,5ª RAJ Presidente Prudente,Presidente Prudente,0,Fórum Presidente Prudente II (CEJUSC)
3501301,6519,Álvares Machado,Álvares Machado,5ª RAJ Presidente Prudente,Presidente Prudente,0,Presidente Prudente III (DARAJ)
3501400,6520,Álvaro de Carvalho,Álvaro de Carvalho,5ª RAJ Presidente Prudente,Garça,0,Fórum I Garça
3501400,6520,Álvaro de Carvalho,Álvaro de Carvalho,5ª RAJ Presidente Prudente,Garça,0,Fórum II Garça (CEJUSC)
3501509,6521,Alvinlândia,Alvinlândia,5ª RAJ Presidente Prudente,Garça,0,Fórum I Garça
3501509,6521,Alvinlândia,Alvinlândia,5ª RAJ Presidente Prudente,Garça,0,Fórum II Garça (CEJUSC)
3501608,6522,Americana,Americana,4ª RAJ Campinas,Americana,1,Fórum Americana
3501608,6522,Americana,Americana,4ª RAJ Campinas,Americana,1,Fórum Americana (Anexo Fiscal e Setor Técnico de Serviço Social e Psicologia)
3501608,6522,Americana,Americana,4ª RAJ Campinas,Americana,1,Fórum Americana (CEJUSC) - UNISAL
3501707,6523,Américo Brasiliense,Américo Brasiliense,6ª RAJ Ribeirão Preto,Américo Brasiliense,1,Fórum Américo Brasiliense
3501806,6524,Américo de Campos,Américo de Campos,8ª RAJ São José do Rio Preto,Tanabi,0,Fórum Dr. Acrísio Pires Domingues
3501806,6524,Américo de Campos,Américo de Campos,8ª RAJ São José do Rio Preto,Tanabi,0,Fórum Tanabi (Juizado Especial Cível e Criminal)
3501905,6525,Amparo,Amparo,4ª RAJ Campinas,Amparo,1,Fórum Dr. Laudo Ferreira de Camargo
3501905,6525,Amparo,Amparo,4ª RAJ Campinas,Amparo,1,Setor das Execuções Fiscais e Setor Técnico Psicossocial
3501905,6525,Amparo,Amparo,4ª RAJ Campinas,Amparo,1,"Juizado Especial Cível e Crim., Colégio Recursal e CEJUSC"
3502002,6526,Analândia,Analândia,4ª RAJ Campinas,Itirapina,0,Desembargador Lafayette Salles Júnior
3502101,6527,Andradina,Andradina,2ª RAJ Araçatuba,Andradina,1,Fórum Andradina I (Homero Rodrigues Silva)
3502101,6527,Andradina,Andradina,2ª RAJ Araçatuba,Andradina,1,Fórum Andradina II (SAF e JECC)
3502101,6527,Andradina,Andradina,2ª RAJ Araçatuba,Andradina,1,Fórum Andradina III - Anexo de Violência Doméstica e Grupo de Apoio Recursal
3502101,6527,Andradina,Andradina,2ª RAJ Araçatuba,Andradina,1,Fórum Andradina IV - CEJUSC de Andradina
3502101,6527,Andradina,Andradina,2ª RAJ Araçatuba,Andradina,1,Fórum Andradina V - Anexo do Juizado de Andradina - UAAJ - CASTILHO
3502200,6528,Angatuba,Angatuba,10ª RAJ Sorocaba,Angatuba,1,Fórum I Angatuba
3502200,6528,Angatuba,Angatuba,10ª RAJ Sorocaba,Angatuba,1,Fórum II Angatuba (Residência Oficial)
3502309,6529,Anhembi,Anhembi,3ª RAJ Bauru,Conchas,0,Fórum Conchas
3502309,6529,Anhembi,Anhembi,3ª RAJ Bauru,Conchas,0,Fórum Conchas III – (Anexo do Juizado - UAAJ - ANHEMBI)
3502309,6529,Anhembi,Anhembi,3ª RAJ Bauru,Conchas,0,Fórum Conchas IV – (Anexo do Juizado - UAAJ - PEREIRAS)
3502408,6530,Anhumas,Anhumas,5ª RAJ Presidente Prudente,Presidente Prudente,0,Fórum Presidente Prudente - Francisco de Souza Nogueira
3502408,6530,Anhumas,Anhumas,5ª RAJ Presidente Prudente,Presidente Prudente,0,Fórum Presidente Prudente II (CEJUSC)
3502408,6530,Anhumas,Anhumas,5ª RAJ Presidente Prudente,Presidente Prudente,0,Presidente Prudente III (DARAJ)
3502507,6531,Aparecida,Aparecida,9ª RAJ São José dos Campos,Aparecida,1,Fórum Aparecida
3502606,6532,Aparecida d'Oeste,Aparecida d'Oeste,2ª RAJ Araçatuba,Palmeira d'Oeste,0,Fórum da Comarca de Palmeira d’Oeste
3502705,6533,Apiaí,Apiaí,10ª RAJ Sorocaba,Apiaí,1,Fórum Apiaí - Des. Déscio Mendes Pereira
3502754,6534,Araçariguama,Araçariguama,10ª RAJ Sorocaba,São Roque,0,Fórum São Roque I
3502754,6534,Araçariguama,Araçariguama,10ª RAJ Sorocaba,São Roque,0,Fórum São Roque II (Anexo Fiscal)
3502804,6535,Araçatuba,Araçatuba,2ª RAJ Araçatuba,Araçatuba,1,Fórum Araçatuba I - PRINCIPAL
3502804,6535,Araçatuba,Araçatuba,2ª RAJ Araçatuba,Araçatuba,1,Fórum Araçatuba II - VARA DA FAZENDA
3502804,6535,Araçatuba,Araçatuba,2ª RAJ Araçatuba,Araçatuba,1,Fórum Araçatuba III - DARAJ
3502804,6535,Araçatuba,Araçatuba,2ª RAJ Araçatuba,Araçatuba,1,Fórum Araçatuba IV - Ofício das Execuções Criminais - DEECRIM
3502804,6535,Araçatuba,Araçatuba,2ª RAJ Araçatuba,Araçatuba,1,Forum Araçatuba V - Serviço de Atendimento Psicossocial
3502903,6536,Araçoiaba da Serra,Araçoiaba da Serra,10ª RAJ Sorocaba,Sorocaba,0,Fórum Sorocaba I - Ministro Piza e Almeida
3502903,6536,Araçoiaba da Serra,Araçoiaba da Serra,10ª RAJ Sorocaba,Sorocaba,0,DARAJ 10
3502903,6536,Araçoiaba da Serra,Araçoiaba da Serra,10ª RAJ Sorocaba,Sorocaba,0,Prédio do CEJUSC I Sorocaba
3502903,6536,Araçoiaba da Serra,Araçoiaba da Serra,10ª RAJ Sorocaba,Sorocaba,0,Prédio do CEJUSC II Sorocaba – Casa do Cidadão de Brigadeiro Tobias
3502903,6536,Araçoiaba da Serra,Araçoiaba da Serra,10ª RAJ Sorocaba,Sorocaba,0,Prédio do CEJUSC III Sorocaba – Casa do Cidadão do Éden
3502903,6536,Araçoiaba da Serra,Araçoiaba da Serra,10ª RAJ Sorocaba,Sorocaba,0,Prédio do CEJUSC IV Sorocaba – Casa do Cidadão de Ipanema
3502903,6536,Araçoiaba da Serra,Araçoiaba da Serra,10ª RAJ Sorocaba,Sorocaba,0,Prédio do CEJUSC IX Sorocaba - Araçoiaba da Serra
3502903,6536,Araçoiaba da Serra,Araçoiaba da Serra,10ª RAJ Sorocaba,Sorocaba,0,Prédio do CEJUSC V Sorocaba – Casa do Cidadão da Itavuvu
3502903,6536,Araçoiaba da Serra,Araçoiaba da Serra,10ª RAJ Sorocaba,Sorocaba,0,Prédio do CEJUSC VI Sorocaba – Casa do Cidadão do Jardim Ipiranga
3502903,6536,Araçoiaba da Serra,Araçoiaba da Serra,10ª RAJ Sorocaba,Sorocaba,0,Prédio do CEJUSC VIII Sorocaba - Casa do Cidadão da Nogueira Padilha
3502903,6536,Araçoiaba da Serra,Araçoiaba da Serra,10ª RAJ Sorocaba,Sorocaba,0,Prédio do Juizado Especial Cível VII Sorocaba – anexo FADI
3503000,6537,Aramina,Aramina,6ª RAJ Ribeirão Preto,Igarapava,0,"Fórum ""David Pimentel"""
3503109,6538,Arandu,Arandu,3ª RAJ Bauru,Avaré,0,Fórum Avaré - I
3503109,6538,Arandu,Arandu,3ª RAJ Bauru,Avaré,0,Fórum Avaré - II (CEJUSC)
3503158,6539,Arapeí,Arapeí,9ª RAJ São José dos Campos,Bananal,0,DR JOSÉ RANGEL DE ALMEIDA
3503208,6540,Araraquara,Araraquara,6ª RAJ Ribeirão Preto,Araraquara,1,Fórum Juiz Macedo Couto
3503208,6540,Araraquara,Araraquara,6ª RAJ Ribeirão Preto,Araraquara,1,Fórum Araraquara III - (CEJUSC)
3503307,6541,Araras,Araras,4ª RAJ Campinas,Araras,1,Fórum Araras - (Des.Manoel Carlos  da Costa Leite)
3503307,6541,Araras,Araras,4ª RAJ Campinas,Araras,1,Forum Araras II - ANEXO FISCAL
3503307,6541,Araras,Araras,4ª RAJ Campinas,Araras,1,Fórum Araras III (CEJUSC na Universidade de Araras - UNAR)
3503307,6541,Araras,Araras,4ª RAJ Campinas,Araras,1,Fórum Araras IV (CEJUSC)
3503307,6541,Araras,Araras,4ª RAJ Campinas,Araras,1,Fórum Araras V - (Anexo da Violência Doméstica)
3503356,6542,Arco-Íris,Arco-Íris,5ª RAJ Presidente Prudente,Tupã,0,Forum de Tupã II  - Arquivo Geral
3503356,6542,Arco-Íris,Arco-Íris,5ª RAJ Presidente Prudente,Tupã,0,Forum de Tupã III - Cejusc
3503356,6542,Arco-Íris,Arco-Íris,5ª RAJ Presidente Prudente,Tupã,0,Fórum Tupã I
3503406,6543,Arealva,Arealva,3ª RAJ Bauru,Bauru,0,Fórum Bauru I - (Principal)
3503406,6543,Arealva,Arealva,3ª RAJ Bauru,Bauru,0,Fórum Bauru II - Fazenda Pública e Família e Sucessões
3503406,6543,Arealva,Arealva,3ª RAJ Bauru,Bauru,0,Fórum Bauru III - Execuções Criminais
3503406,6543,Arealva,Arealva,3ª RAJ Bauru,Bauru,0,Fórum Bauru IV - DARAJ - COLÉGIO RECURSAL - SAS - IMESC - DEECRIM - Aud.Custódia
3503406,6543,Arealva,Arealva,3ª RAJ Bauru,Bauru,0,Fórum Bauru V - Psicossocial
3503406,6543,Arealva,Arealva,3ª RAJ Bauru,Bauru,0,Fórum Bauru VI - CEJUSC
3503406,6543,Arealva,Arealva,3ª RAJ Bauru,Bauru,0,Fórum Bauru VII - (Prédio Cedido)
3503406,6543,Arealva,Arealva,3ª RAJ Bauru,Bauru,0,Fórum Bauru VIII - (Prédio Cedido)
3503505,6544,Areias,Areias,9ª RAJ São José dos Campos,Queluz,0,Fórum Desembargador Ferreira França
3503505,6544,Areias,Areias,9ª RAJ São José dos Campos,Queluz,0,Fórum II Queluz (Arquivo)
3503604,6545,Areiópolis,Areiópolis,3ª RAJ Bauru,São Manuel,0,"Fórum Desembargador ""Julio César de Faria"""
3503604,6545,Areiópolis,Areiópolis,3ª RAJ Bauru,São Manuel,0,Fórum São Manuel II (Arquivo)
3503604,6545,Areiópolis,Areiópolis,3ª RAJ Bauru,São Manuel,0,Fórum São Manuel III (CEJUSC)
3503604,6545,Areiópolis,Areiópolis,3ª RAJ Bauru,São Manuel,0,Fórum São Manuel IV (Anexo do JEC - UAAJ - AREIÓPOLIS)
3503703,6546,Ariranha,Ariranha,8ª RAJ São José do Rio Preto,Santa Adélia,0,Fórum de Santa Adélia I
3503703,6546,Ariranha,Ariranha,8ª RAJ São José do Rio Preto,Santa Adélia,0,Fórum de Santa Adélia II (JEC/Jecrim/Arquivo/Cejusc)
3503802,6547,Artur Nogueira,Artur Nogueira,4ª RAJ Campinas,Artur Nogueira,1,Fórum Artur Nogueira
3503802,6547,Artur Nogueira,Artur Nogueira,4ª RAJ Campinas,Artur Nogueira,1,Fórum Artur Nogueira (CEJUSC)
3503901,6548,Arujá,Arujá,1ª RAJ Grande São Paulo,Arujá,1,Fórum Fernando de Albuquerque Prado
3503901,6548,Arujá,Arujá,1ª RAJ Grande São Paulo,Arujá,1,Fórum Arujá II
3503901,6548,Arujá,Arujá,1ª RAJ Grande São Paulo,Arujá,1,Forum Arujá III (Setor Técnico)
3503901,6548,Arujá,Arujá,1ª RAJ Grande São Paulo,Arujá,1,Fórum Arujá IV - Execuções Fiscais
3503901,6548,Arujá,Arujá,1ª RAJ Grande São Paulo,Arujá,1,Fórum Arujá V (Salão do Júri)
3503901,6548,Arujá,Arujá,1ª RAJ Grande São Paulo,Arujá,1,Fórum Arujá VI - Juizado Especial Cível e Criminal
3503901,6548,Arujá,Arujá,1ª RAJ Grande São Paulo,Arujá,1,Fórum Arujá VII - Deposito de Material e Arquivo de Processos
3503901,6548,Arujá,Arujá,1ª RAJ Grande São Paulo,Arujá,1,Fórum Arujá VIII - Cejusc
3503950,6549,Aspásia,Aspásia,0ª RAJ Sem Região,Urânia,0,Fórum da Comarca de Urânia I
3503950,6549,Aspásia,Aspásia,0ª RAJ Sem Região,Urânia,0,Fórum da Comarca de Urânia II (Cejusc)
3504008,6550,Assis,Assis,5ª RAJ Presidente Prudente,Assis,1,Fórum Assis I - Dr. José Claudino de Oliveira Dias
3504008,6550,Assis,Assis,5ª RAJ Presidente Prudente,Assis,1,Fórum Assis II - (Vara da Fazenda Pública)
3504008,6550,Assis,Assis,5ª RAJ Presidente Prudente,Assis,1,Fórum Assis III - (Juizado Especial Cível e Criminal)
3504008,6550,Assis,Assis,5ª RAJ Presidente Prudente,Assis,1,Fórum Assis IV - (CEJUSC - ACIA)
3504107,6551,Atibaia,Atibaia,4ª RAJ Campinas,Atibaia,1,CEJUSC Atibaia
3504107,6551,Atibaia,Atibaia,4ª RAJ Campinas,Atibaia,1,"Fórum ""Dr. Álvaro Correia Lima"""
3504206,6552,Auriflama,Auriflama,2ª RAJ Araçatuba,Auriflama,1,Fórum Auriflama - (Ministro Domingos Franciulli Neto)
3504305,6553,Avaí,Avaí,3ª RAJ Bauru,Bauru,0,Fórum Bauru I - (Principal)
3504305,6553,Avaí,Avaí,3ª RAJ Bauru,Bauru,0,Fórum Bauru II - Fazenda Pública e Família e Sucessões
3504305,6553,Avaí,Avaí,3ª RAJ Bauru,Bauru,0,Fórum Bauru III - Execuções Criminais
3504305,6553,Avaí,Avaí,3ª RAJ Bauru,Bauru,0,Fórum Bauru IV - DARAJ - COLÉGIO RECURSAL - SAS - IMESC - DEECRIM - Aud.Custódia
3504305,6553,Avaí,Avaí,3ª RAJ Bauru,Bauru,0,Fórum Bauru V - Psicossocial
3504305,6553,Avaí,Avaí,3ª RAJ Bauru,Bauru,0,Fórum Bauru VI - CEJUSC
3504305,6553,Avaí,Avaí,3ª RAJ Bauru,Bauru,0,Fórum Bauru VII - (Prédio Cedido)
3504305,6553,Avaí,Avaí,3ª RAJ Bauru,Bauru,0,Fórum Bauru VIII - (Prédio Cedido)
3504404,6554,Avanhandava,Avanhandava,2ª RAJ Araçatuba,Penápolis,0,Fórum Penápolis I -
3504404,6554,Avanhandava,Avanhandava,2ª RAJ Araçatuba,Penápolis,0,Fórum Penápolis II - (Juizado Especial)
3504503,6555,Avaré,Avaré,3ª RAJ Bauru,Avaré,1,Fórum Avaré - I
3504503,6555,Avaré,Avaré,3ª RAJ Bauru,Avaré,1,Fórum Avaré - II (CEJUSC)
3504602,6556,Bady Bassitt,Bady Bassitt,8ª RAJ São José do Rio Preto,São José do Rio Preto,0,Fórum São José do Rio Preto I - (Central)
3504602,6556,Bady Bassitt,Bady Bassitt,8ª RAJ São José do Rio Preto,São José do Rio Preto,0,"Fórum São José do Rio Preto II - (Cível, Fazenda e DARAJ 8)"
3504602,6556,Bady Bassitt,Bady Bassitt,8ª RAJ São José do Rio Preto,São José do Rio Preto,0,"Fórum São José do Rio Preto III - (Família, JEC e Infância)"
3504701,6557,Balbinos,Balbinos,3ª RAJ Bauru,Pirajuí,0,Fórum Pirajuí  (Alexandre Delphino Amorim Lima)
3504800,6558,Bálsamo,Bálsamo,8ª RAJ São José do Rio Preto,Mirassol,0,Fórum de Mirassol I
3504800,6558,Bálsamo,Bálsamo,8ª RAJ São José do Rio Preto,Mirassol,0,Fórum Mirassol III - (CEJUSC)
3504800,6558,Bálsamo,Bálsamo,8ª RAJ São José do Rio Preto,Mirassol,0,Fórum Mirassol II - (Anexo Fiscal)
3504909,6559,Bananal,Bananal,9ª RAJ São José dos Campos,Bananal,1,DR JOSÉ RANGEL DE ALMEIDA
3505005,6560,Barão de Antonina,Barão de Antonina,10ª RAJ Sorocaba,Itaporanga,0,Fórum Itaporanga- DESEMBARGADOR PLÍNIO DE CARVALHO PINTO
3505104,6561,Barbosa,Barbosa,2ª RAJ Araçatuba,Penápolis,0,Fórum Penápolis I -
3505104,6561,Barbosa,Barbosa,2ª RAJ Araçatuba,Penápolis,0,Fórum Penápolis II - (Juizado Especial)
3505203,6562,Bariri,Bariri,3ª RAJ Bauru,Bariri,1,"FORUM ""DR. JOAQUIM FERNANDO PAES DE BARROS NETTO"""
3505203,6562,Bariri,Bariri,3ª RAJ Bauru,Bariri,1,Fórum Bariri II
3505203,6562,Bariri,Bariri,3ª RAJ Bauru,Bariri,1,Residência Oficial - cedida para Prefeitura Municipal de Bariri-19ª Zona Eleitor
3505302,6563,Barra Bonita,Barra Bonita,3ª RAJ Bauru,Barra Bonita,1,Fórum I Barra Bonita
3505302,6563,Barra Bonita,Barra Bonita,3ª RAJ Bauru,Barra Bonita,1,Fórum II Barra Bonita (CEJUSC)
3505351,6564,Barra do Chapéu,Barra do Chapéu,10ª RAJ Sorocaba,Apiaí,0,Fórum Apiaí - Des. Déscio Mendes Pereira
3505401,6565,Barra do Turvo,Barra do Turvo,7ª RAJ Santos,Jacupiranga,0,Fórum Jacupiranga I
3505500,6566,Barretos,Barretos,8ª RAJ São José do Rio Preto,Barretos,1,Fórum Barretos - Prédio II (Cejusc e Colégio Recursal)
3505500,6566,Barretos,Barretos,8ª RAJ São José do Rio Preto,Barretos,1,Fórum I Barretos
3505500,6566,Barretos,Barretos,8ª RAJ São José do Rio Preto,Barretos,1,Fórum III Barretos (Anexo do Juizado Especial Cível - UNIFEB)
3505609,6567,Barrinha,Barrinha,6ª RAJ Ribeirão Preto,Sertãozinho,0,Fórum Sertãozinho I
3505609,6567,Barrinha,Barrinha,6ª RAJ Ribeirão Preto,Sertãozinho,0,Fórum Sertãozinho II - CEJUSC / SEF
3505708,6568,Barueri,Barueri,1ª RAJ Grande São Paulo,Barueri,1,Fórum Barueri i - (Prédio Novo)
3505708,6568,Barueri,Barueri,1ª RAJ Grande São Paulo,Barueri,1,Fórum Barueri II - (CEJUSC)
3505807,6569,Bastos,Bastos,5ª RAJ Presidente Prudente,Bastos,1,Foro da Comarca de Bastos
3505906,6570,Batatais,Batatais,6ª RAJ Ribeirão Preto,Batatais,1,Fórum Batatais
3505906,6570,Batatais,Batatais,6ª RAJ Ribeirão Preto,Batatais,1,Fórum Batatais II - Juizado Especial Cível e Criminal
3505906,6570,Batatais,Batatais,6ª RAJ Ribeirão Preto,Batatais,1,Fórum Batatais III - CEJUSC
3506003,6571,Bauru,Bauru,3ª RAJ Bauru,Bauru,1,Fórum Bauru I - (Principal)
3506003,6571,Bauru,Bauru,3ª RAJ Bauru,Bauru,1,Fórum Bauru II - Fazenda Pública e Família e Sucessões
3506003,6571,Bauru,Bauru,3ª RAJ Bauru,Bauru,1,Fórum Bauru III - Execuções Criminais
3506003,6571,Bauru,Bauru,3ª RAJ Bauru,Bauru,1,Fórum Bauru IV - DARAJ - COLÉGIO RECURSAL - SAS - IMESC - DEECRIM - Aud.Custódia
3506003,6571,Bauru,Bauru,3ª RAJ Bauru,Bauru,1,Fórum Bauru V - Psicossocial
3506003,6571,Bauru,Bauru,3ª RAJ Bauru,Bauru,1,Fórum Bauru VI - CEJUSC
3506003,6571,Bauru,Bauru,3ª RAJ Bauru,Bauru,1,Fórum Bauru VII - (Prédio Cedido)
3506003,6571,Bauru,Bauru,3ª RAJ Bauru,Bauru,1,Fórum Bauru VIII - (Prédio Cedido)
3506102,6572,Bebedouro,Bebedouro,8ª RAJ São José do Rio Preto,Bebedouro,1,Fórum Bebedouro - Desembargador Adriano Marrey
3506102,6572,Bebedouro,Bebedouro,8ª RAJ São José do Rio Preto,Bebedouro,1,Fórum Bebedouro (Anexo do Juizado Especial - UNIFAFIBE)
3506102,6572,Bebedouro,Bebedouro,8ª RAJ São José do Rio Preto,Bebedouro,1,Fórum Bebedouro (Juizado Especial)
3506102,6572,Bebedouro,Bebedouro,8ª RAJ São José do Rio Preto,Bebedouro,1,Fórum Bebedouro (Residência Oficial)
3506201,6573,Bento de Abreu,Bento de Abreu,2ª RAJ Araçatuba,Valparaíso,0,Fórum Desembargador Antonio Marzagão Barbuto
3506201,6573,Bento de Abreu,Bento de Abreu,2ª RAJ Araçatuba,Valparaíso,0,Juizado Especial Cível da Comarca de Valparaíso
3506300,6574,Bernardino de Campos,Bernardino de Campos,0ª RAJ Sem Região,Ipaussu,0,Fórum Ipaussu I
3506300,6574,Bernardino de Campos,Bernardino de Campos,0ª RAJ Sem Região,Ipaussu,0,Fórum Ipaussu II (Juizado Especial Cível)
3506300,6574,Bernardino de Campos,Bernardino de Campos,0ª RAJ Sem Região,Ipaussu,0,Fórum Ipaussu III (Terreno)
3506359,6575,Bertioga,Bertioga,7ª RAJ Santos,Bertioga,1,Fórum da Comarca de Bertioga
3506409,6576,Bilac,Bilac,2ª RAJ Araçatuba,Bilac,1,Fórum Bilac (Residência Oficial)
3506409,6576,Bilac,Bilac,2ª RAJ Araçatuba,Bilac,1,Fórum da Comarca de Bilac - (Coriolano Pompeu Filho)
3506508,6577,Birigui,Birigui,2ª RAJ Araçatuba,Birigui,1,Fórum I Birigüi
3506508,6577,Birigui,Birigui,2ª RAJ Araçatuba,Birigui,1,Fórum II Birigui (Depósito)
3506607,6578,Biritiba-Mirim,Biritiba-Mirim,1ª RAJ Grande São Paulo,Mogi das Cruzes,0,"Fórum I Leôncio Arouche de Toledo (Cível, V. Infância e Juventude, JEC e JECRIM)"
3506607,6578,Biritiba-Mirim,Biritiba-Mirim,1ª RAJ Grande São Paulo,Mogi das Cruzes,0,Fórum II de Mogi das Cruzes - Braz Cubas (Criminal)
3506607,6578,Biritiba-Mirim,Biritiba-Mirim,1ª RAJ Grande São Paulo,Mogi das Cruzes,0,Forum III de Mogi das Cruzes (Fazenda Pública)
3506607,6578,Biritiba-Mirim,Biritiba-Mirim,1ª RAJ Grande São Paulo,Mogi das Cruzes,0,Fórum IV Mogi das Cruzes (CEJUSC - UMC)
3506607,6578,Biritiba-Mirim,Biritiba-Mirim,1ª RAJ Grande São Paulo,Mogi das Cruzes,0,Fórum V Mogi das Cruzes (Juizado Itinerante - Biritiba Mirim)
3506607,6578,Biritiba-Mirim,Biritiba-Mirim,1ª RAJ Grande São Paulo,Mogi das Cruzes,0,Fórum VI Mogi das Cruzes (Universidade Braz Cubas)
3506706,6579,Boa Esperança do Sul,Boa Esperança do Sul,6ª RAJ Ribeirão Preto,Ribeirão Bonito,0,Fórum I Ribeirão Bonito
3506805,6580,Bocaina,Bocaina,3ª RAJ Bauru,Jaú,0,Fórum Jaú I - Antonio Hermógenes Altenfelder Silva
3506805,6580,Bocaina,Bocaina,3ª RAJ Bauru,Jaú,0,Fórum Jaú II
3506805,6580,Bocaina,Bocaina,3ª RAJ Bauru,Jaú,0,Fórum Jaú III (Anexo do JEC - FJAU)
3506904,6581,Bofete,Bofete,10ª RAJ Sorocaba,Porangaba,0,Fórum Porangaba I
3506904,6581,Bofete,Bofete,10ª RAJ Sorocaba,Porangaba,0,Fórum Porangaba II (Anexo do JEC - UAAJ - BOFETE)
3506904,6581,Bofete,Bofete,10ª RAJ Sorocaba,Porangaba,0,Fórum Porangaba III (Anexo do JEC - UAAJ - GUAREÍ)
3507001,6582,Boituva,Boituva,10ª RAJ Sorocaba,Boituva,1,Fórum Boituva I  (Ofícios Judiciais)
3507001,6582,Boituva,Boituva,10ª RAJ Sorocaba,Boituva,1,Fórum Boituva II - (Juizado Especial)
